"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"10 644 results found for (ti=""smart glasses"" OR ti=""smart eyewear"" OR ti=""audio glasses"" OR ti=""hearing glasses"" OR ti=""AR glasses"" OR ti=""augmented reality glasses"" OR ti=""intelligent eyewear"" OR ti=""head mounted display"") AND (txt=""wearable"" OR txt=""augmented reality"" OR txt=""mixed reality"" OR txt=""display"" OR txt=""sensor"" OR txt=""connectivity"" OR txt=""heads-up"" OR txt=""hands-free"" OR txt=""beamforming"") NOT (ti=""contact lens"" OR ti=""VR headset"" OR ti=""virtual reality headset"")";"";"";"";"";"";"";"";"";
"Results 1 to 500 displayed";"";"";"";"";"";"";"";"";
"Query language: en";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"251";"INFORMATION DISPLAY SYSTEM USING HEAD MOUNTED DISPLAY DEVICE, INFORMATION DISPLAY METHOD USING HEAD MOUNTED DISPLAY DEVICE, AND HEAD MOUNTED DISPLAY DEVICE";"KIMURA FUSASHI [JP]";"SEIKO EPSON CORP [JP]";"US2014285521A1 
US9824496B2";"2013-03-22";"G02B27/01 
G06T19/00 
G06F3/01 
G06F3/147 
H04L1/00";"G02B27/017 (EP,US) 
G06F3/011 (EP,US) 
G06F3/147 (EP,US) 
G06T19/006 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G02B27/01 (US) 
G02B27/0101 (US) 
G06F3/012 (US) 
H04L1/00 (US)";"2014-09-25 
2017-11-21";"2014-09-24";"051550548";
"252";"Portable device supporting videotelephony of a head mounted display and method of controlling therefor";"CHO EUNHYUNG [KR] 
CHUN SINAE [KR] 
KIM JONGHO [KR] 
KIM JIHWAN [KR]";"LG ELECTRONICS INC [KR]";"US8866849B1";"2013-08-28";"G02B27/01 
G06T19/00 
G09G5/00";"G02B27/01 (KR) 
G02B27/017 (EP,US) 
G02B27/0172 (US) 
G06F13/14 (KR) 
G06F13/38 (KR) 
G06F3/011 (EP,US) 
G06F3/012 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/0141 (EP,US) 
G09G2340/125 (US)";"2014-10-21";"2014-10-21";"051702321";
"253";"Augmented reality glasses";"ZHANG XING 
CHI XIAOCHENG 
LAN XIANGDONG";"GOERTEK TECH CO LTD";"CN207937712U";"2017-10-19";"G02B27/01 
G02C9/00";"";"2018-10-02";"2018-10-02";"063645467";
"254";"Augmented reality glasses";"KANG QING 
ZHANG HONGTAO";"LENOVO SHANGHAI INFORMATION TECH CO LTD";"CN210112165U";"2019-05-31";"G02B27/01 
H04N13/239 
H04N13/332 
H04N13/398";"";"2020-02-21";"2020-02-21";"069562749";
"255";"Golf distance measuring system based on augmented reality glasses and distance measuring method thereof";"QIN YING 
YAO LIJUN 
ZHAO LI 
FU JINGLI 
ZHU YONGHONG";"WUHAN TUOPU JINGYAN SEMICONDUCTOR TECH CO LTD";"CN118915081A";"2024-07-22";"G01S17/08 
G01S7/481 
G02B27/01";"G01S17/08 (CN) 
G01S7/481 (CN) 
G02B27/017 (CN) 
G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2024-11-08";"2024-11-08";"093299041";
"256";"Display correction method and device for augmented reality and augmented reality glasses";"WANG GANG 
CHEN HANG 
HU ZENGXIN";"ZHEJIANG SHUNWEI TECH CO LTD";"CN120703979A";"2025-07-02";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0116 (CN) 
G02B2027/0118 (CN) 
G02B2027/0138 (CN) 
G02B2027/014 (CN) 
G02B2027/0178 (CN)";"2025-09-26";"2025-09-26";"097109298";
"257";"CARD TO CARD TRANSACTION INITIATION USING LIGHT FIDELITY (""LIFI"") ENABLED SMART GLASSES";"SINGH SHAILENDRA [IN]";"BANK OF AMERICA [US]";"US11790345B2 
US2023245098A1";"2022-02-03";"G02B27/01 
G06F3/01 
G06F3/04842 
G06F3/0486 
G06F3/0488 
G06Q20/32 
G06Q20/34 
G06V20/20";"G02B27/017 (EP) 
G02B27/0172 (EP,US) 
G06F1/163 (EP) 
G06F3/011 (EP) 
G06F3/013 (EP) 
G06F3/017 (US) 
G06F3/0482 (EP) 
G06F3/04842 (EP,US) 
G06F3/0486 (EP,US) 
G06F3/0488 (US) 
G06Q20/321 (EP) 
G06Q20/3274 (EP) 
G06Q20/3276 (EP,US) 
G06Q20/3278 (EP) 
G06Q20/341 (EP,US) 
G06Q20/352 (EP) 
G06Q20/353 (EP) 
G06Q20/4014 (EP) 
G06V20/20 (EP,US) 
G06V30/416 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US) 
G06V10/82 (EP)";"2023-08-03 
2023-10-17";"2023-08-03";"087432301";
"258";"Augmented reality glasses";"LI XIAOLEI";"GOERTEK OPTICAL TECH CO LTD";"CN212647162U";"2020-07-20";"G02B27/01 
H01H3/16";"";"2021-03-02";"2021-03-02";"074763269";
"259";"Information display method based on augmented reality glasses";"ZHANG QIAOYU 
YAN JUNCHI";"UNIV SHANGHAI JIAOTONG";"CN111079754A";"2019-12-26";"G06K9/32 
G06K9/62";"G06F18/214 (CN) 
G06V10/25 (CN)";"2020-04-28";"2020-04-28";"070318343";
"260";"Head-mounted display system";"DUAN JIAXI 
WANG LIANBING 
HAN ZHIHUI 
SUN SHUXIAN 
YAO CHENG 
HOU WEIHONG";"BEIJING NED AR DISPLAY TECH CO LTD";"CN217606186U";"2022-07-08";"G02B27/01 
H04N5/225";"";"2022-10-18";"2022-10-18";"083592601";
"261";"MODULAR SMART GLASSES COMBINED WITH AUGMENTED REALITY TO DELIVER AN IMPROVED USER EXPERIENCE";"LEE MI JIN [KR]";"LEE MI JIN [KR]";"KR20250031521A";"2023-08-28";"G02B27/01 
G06T19/00 
H04N13/332";"G02B27/017 (KR) 
G06T19/006 (KR) 
H04N13/332 (KR) 
G02B2027/0178 (KR)";"2025-03-07";"2025-03-07";"094972530";
"262";"METHODS OF SURFACING XR AUGMENTS GENERATED BY ARTIFICIAL INTELLIGENCE AT AUGMENTED REALITY GLASSES, AND SYSTEMS AND DEVICES THEREOF";"DOGAN ATA [US] 
BALMES CHRISTOPHER E [US] 
FAUNCE JONATHAN [US] 
KARPENKO TUNG HIM [US]";"META PLATFORMS TECH LLC [US]";"US20260065605A1";"2024-09-03";"G06Q50/00 
G06T19/00";"G06F1/163 (EP) 
G06F3/011 (EP) 
G06F3/017 (EP) 
G06F3/04883 (EP) 
G06F3/04886 (EP) 
G06F3/167 (EP) 
G06Q10/40 (EP,US) 
G06T19/006 (US) 
G02B2027/0141 (EP) 
G02B27/017 (EP)";"2026-03-05";"2026-03-05";"098899674";
"263";"AR GLASSES APPARATUS CONTROLLED USING BRAIN WAVES AND THE CONTROL METHOD THEREOF";"CHIWON CHOI 
KIM SEHO";"P&C SOLUTION CO LTD [KR]";"KR20240039971A";"2022-09-20";"G02B27/01 
G06F3/01";"G02B27/017 (KR) 
G06F3/015 (KR)";"2024-03-27";"2024-03-27";"090480591";
"264";"Augmented reality glasses display method and device, electronic equipment and storage medium";"WANG LIANMIN 
FU DONGSHENG";"MIRACLE INTELLIGENT NETWORK CO LTD";"CN111583329A 
CN111583329B";"2020-04-09";"G02B27/01 
G06T3/40 
G06T5/00 
G06T7/70";"G02B27/0172 (CN) 
G06T3/4023 (CN) 
G06T5/70 (CN) 
G06T7/70 (CN) 
G02B2027/0138 (CN) 
G02B2027/014 (CN)";"2020-08-25 
2023-08-04";"2020-08-25";"072117795";
"265";"AN OPTICAL DEVICE WITH WIDER FIELD OF VIEW USING CONCAVE LENS AND A HEAD MOUNTED DISPLAY APPARATUS HAVING THEREOF";"CHIWON CHOI 
YOUNGHEON BAE 
HEEJAE CHEONG 
LEE WONSEOK";"P&C SOLUTION [KR]";"KR20210116943A";"2020-03-18";"G02B27/01 
G02B27/10 
G02B3/00";"G02B27/0172 (KR) 
G02B27/10 (KR) 
G02B3/0087 (KR)";"2021-09-28";"2021-09-28";"077923397";
"266";"Enhancing Readability on Head-Mounted Display";"WEAVER JOSHUA [US] 
BIFFLE CLIFFORD L [US] 
WONG ADRIAN [US]";"WEAVER JOSHUA [US] 
BIFFLE CLIFFORD L [US] 
WONG ADRIAN [US] 
GOOGLE INC [US]";"US2015316766A1";"2012-03-23";"G09G5/08 
H04N13/04";"G02B27/0172 (US) 
G09G3/001 (EP,US) 
H04N13/324 (EP,US) 
H04N13/344 (EP,US) 
H04N13/366 (EP,US) 
G09G2310/0235 (EP,US) 
G09G2320/0242 (EP,US) 
G09G2340/06 (EP,US) 
G09G5/34 (EP,US)";"2015-11-05";"2015-11-05";"054355151";
"267";"AUGMENTED REALITY DISPLAY DEVICE AND METHOD, AND AUGMENTED REALITY GLASSES";"MA SEN [CN]";"BOE TECHNOLOGY GROUP CO LTD [CN]";"US2019293937A1";"2018-03-20";"G02B27/00 
G02B27/01 
G06T19/00";"G01B11/2513 (EP) 
G02B27/0093 (CN,US) 
G02B27/0101 (CN) 
G02B27/017 (EP) 
G02B27/0172 (US) 
G06F3/013 (EP,CN) 
G06T19/006 (US) 
G02B2027/0129 (EP) 
G02B2027/0134 (EP) 
G02B2027/0138 (EP,US) 
G02B2027/0167 (EP) 
G02B2027/0178 (EP,CN,US) 
G02B27/0093 (EP)";"2019-09-26";"2018-08-14";"063092646";
"268";"AR glasses";"BINDER TIMON 
SCHNELL PASCAL ANDRE 
PUERTA DIAZ DANIEL 
HERRMANN LARS OLIVER 
YOUSSEFI MYRIAM 
BETZCHEN SEBASTIAN";"ALMA TECH CO LTD";"CN118451355A";"2022-05-16";"G02B27/01 
G02C9/04";"";"2024-08-06";"2024-08-06";"081654741";
"269";"AUGMENTED REALITY GLASSES";"CHIU YI-JUNG [TW] 
HUANG SHIH-TING [TW] 
LI YEN-HSIEN [TW] 
TU TSUNG-WEI [TW] 
SHIH WEI-KUO [TW]";"ACER INC [TW]";"US11281012B1 
US2022082828A1";"2020-09-16";"G02B27/01 
G06T19/00";"G02B27/0172 (EP,US) 
G02B5/09 (EP) 
G06T19/006 (US) 
G02B2027/0127 (EP) 
G02B2027/013 (EP) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (US)";"2022-03-17 
2022-03-22";"2022-01-01";"080627756";
"270";"HEAD-MOUNTED DISPLAY APPARATUS WITH VARIABLE CUSHION STRUCTURE THAT FITS THE USERS HEAD SIZE";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION [KR]";"KR102577516B1 
KR20230033521A";"2021-09-01";"G02B27/01";"";"2023-03-08 
2023-09-13";"2023-03-08";"085508390";
"271";"HEAD MOUNTED DISPLAY AND METHOD FOR CONTROLLING THE SAME";"CHO EUNHYUNG [KR] 
KIM JONGHO [KR] 
LEE DOYOUNG [KR] 
KIM JIHWAN [KR] 
CHUN SINAE [KR]";"LG ELECTRONICS INC [KR]";"US2015234456A1 
US9239618B2";"2014-02-20";"G02B27/00 
G02B27/01 
G06F3/01 
G06T19/00";"G02B27/0093 (EP,US) 
G02B27/0172 (EP,US) 
G06F3/011 (EP,US) 
G06F3/013 (EP,US) 
G06F3/0487 (EP,US) 
G06F3/1423 (US) 
G06T19/006 (US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G06T2200/28 (US)";"2015-08-20 
2016-01-19";"2015-08-20";"053798115";
"272";"HEAD MOUNTED DISPLAY DEVICE, METHOD FOR CONTROLLING THE SAME AND COMPUTER PROGRAM";"TAKAHASHI TATSUNORI 
YAMAGUCHI KAORU 
TAKANO MASAHIDE";"SEIKO EPSON CORP";"JP2016081339A 
JP6421543B2";"2014-10-17";"G06F3/01 
G06F3/048 
G06F3/0481 
G06F3/0484 
G06T19/00 
G09G5/00";"";"2016-05-16 
2018-11-14";"2016-05-16";"055958810";
"273";"Three dimensional display method based on augmented reality and augmented reality glasses";"WANG JIE 
DANG SHAOJUN";"SHENZHEN VIRTUAL REALITY TECHNOLOGY CO LTD";"CN104883556A 
CN104883556B";"2015-05-25";"G02B27/22 
H04N13/00 
H04N13/04";"";"2015-09-02 
2017-08-29";"2015-09-02";"053950875";
"274";"AR GLASSES WITH PREDICTIVE CONTROL OF EXTERNAL DEVICE BASED ON EVENT INPUT";"OSTERHOUT RALPH F [US] 
HADDICK JOHN D [US] 
LOHSE ROBERT MICHAEL [US]";"MICROSOFT TECHNOLOGY LICENSING LLC [US]";"US2015309316A1";"2010-02-28";"G02B27/01 
G06F3/0488";"G02B27/017 (EP,US) 
G06F1/163 (EP,US) 
G06F3/012 (EP,US) 
G06F3/013 (EP,US) 
G06F3/014 (US) 
G06F3/017 (EP,US) 
G06F3/0227 (EP,US) 
G06F3/0346 (US) 
G06F3/03547 (EP,US) 
G06F3/04815 (EP,US) 
G06F3/0488 (EP,US) 
G06F3/167 (EP,US) 
G02B2027/0178 (EP,US) 
G02B2027/0187 (EP,US) 
G06F13/00 (EP,US) 
G06T19/006 (US)";"2015-10-29";"2015-10-29";"054334627";
"275";"HMD AR AUGMENTED REALITY GLASS DEVICE WITH HEAD MOUNTED DISPLAY TIGHTENER USING MULTI-LINE SCREWS";"CHIWON CHOI 
DONG HO HAM";"P&C SOLUTION CO LTD [KR]";"KR20240115097A";"2023-01-18";"G02B27/01 
G06F3/01";"G02B27/0176 (KR) 
G06F3/011 (KR) 
G02B2027/0178 (KR)";"2024-07-25";"2024-07-25";"092173341";
"276";"COLOR ANALYSIS AND CONTROL USING AN ELECTRONIC MOBILE DEVICE TRANSPARENT DISPLAY SCREEN INTEGRAL WITH THE USE OF AUGMENTED REALITY GLASSES";"KIM-WHITTY SUK K [US]";"SK COMMERCIAL CONSTRUCTION INC [US]";"US10803988B2 
US2019311796A1";"2017-03-20";"A61B5/103 
G06T1/00 
G06T11/60 
G06T19/00 
G06T7/90 
G16H30/20 
G16H30/40 
G06T11/00 
G06T7/00 
G06T7/529 
H04N7/14";"A61B5/0002 (EP) 
A61B5/0077 (EP) 
A61B5/1032 (US) 
G06T1/0007 (US) 
G06T11/60 (EP,US) 
G06T19/006 (US) 
G06T7/90 (US) 
G16H30/20 (EP,US) 
G16H30/40 (EP,US) 
G16H40/67 (EP) 
G16H80/00 (EP) 
G06T11/10 (US) 
G06T2200/24 (EP) 
G06T7/0014 (US) 
G06T7/529 (US) 
H04N2007/145 (US) 
H04N7/142 (EP,US)";"2019-10-10 
2020-10-13";"2019-10-10";"068097372";
"277";"Display control method of AR glasses, electronic equipment and storage medium";"ZHANG GAORAN 
CHENG XUESONG 
LI YUAN";"ZHEJIANG ZEEKR INTELLIGENT TECH CO LTD 
GEELY HOLDING GROUP CO LTD";"CN116953938A";"2023-07-14";"G02B27/01 
G06F3/01";"G02B27/017 (CN) 
G02B27/0179 (CN) 
G06F3/011 (CN) 
G02B2027/0178 (CN) 
G02B2027/0183 (CN) 
G06F2203/012 (CN)";"2023-10-27";"2023-10-27";"088445617";
"278";"AUGMENTED REALITY GLASSES DEVICE AND DISPLAY PROGRAM";"MIYOSHI TAKASHI [JP]";"FANUC CORP [JP]";"US11722651B2 
US2021021797A1";"2019-07-18";"G06T7/285 
H04N13/111 
H04N13/00";"G02B27/017 (CN) 
G06F3/011 (EP) 
G06F3/017 (CN) 
G06T19/006 (CN) 
G06T7/285 (US) 
H04N13/111 (US) 
H04N13/344 (EP) 
G02B2027/0178 (CN) 
G06T2207/30164 (US) 
H04N13/25 (EP) 
H04N2013/0085 (US) 
H04N2213/008 (US)";"2021-01-21 
2023-08-08";"2021-01-19";"074093919";
"279";"AUGMENTED REALITY INTERFACE IMPLEMENTATION METHOD AND HEAD-MOUNTED DISPLAY DEVICE";"PENG SHIPING [CN]";"SHENZHEN ROYOLE TECHNOLOGIES CO LTD [CN]";"WO2018120090A1";"2016-12-30";"A63F13/837";"G06F3/011 (EP,CN)";"2018-07-05";"2018-03-20";"061601630";
"280";"HEAD-MOUNTED DISPLAY DEVICE, CONTROL METHOD OF HEAD-MOUNTED DISPLAY DEVICE, AND DISPLAY SYSTEM";"FUJIMAKI YUTAKA [JP] 
KANEKO HIDEHO [JP] 
TAKANO MASAHIDE [JP] 
ARUGA NAOTO [JP] 
SENDAI KAORI [JP]";"SEIKO EPSON CORP [JP]";"US2016033770A1";"2013-03-26";"G02B27/01 
G06F3/01 
G06T19/00";"G02B27/0101 (US) 
G02B27/017 (EP,US) 
G02B27/0172 (US) 
G06F3/011 (US) 
G06T19/006 (EP,US) 
H04N13/344 (EP,US) 
G02B2027/0129 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (US) 
G02B2027/0187 (EP,US)";"2016-02-04";"2014-10-01";"050543280";
"281";"Intelligent nursing augmented reality glasses and system";"";"SHANGHAI CUITAI INTELLIGENT TECH CO LTD";"CN210605199U";"2019-05-29";"G02B27/01 
G08B21/02";"";"2020-05-22";"2020-05-22";"070694385";
"282";"Augmented reality glasses";"ZENG ZHENGDE 
LIU SHUHONG";"GUANGZHOU LIJING INNOVATION TECH CO LTD";"CN117826424A";"2024-02-06";"G02B27/01";"G02B27/0172 (CN) 
G02B27/0176 (CN) 
G02B2027/0178 (CN)";"2024-04-05";"2024-04-05";"090511894";
"283";"HEAD MOUNTED DISPLAY APPARATUS TO ADD VISION CORRECTION LENSES";"CHIWON CHOI 
KIM JEONG HWAN";"P&C SOLUTION [KR]";"KR102464751B1 
KR20220033693A";"2020-09-10";"G02B27/01 
G02C3/02 
G02C7/02";"G02B27/0176 (KR) 
G02C3/02 (KR) 
G02C7/02 (KR) 
G02B2027/0178 (KR)";"2022-03-17 
2022-11-09";"2022-03-17";"080936057";
"284";"Printing icon identification and equipment control method based on AR (Augmented Reality) glasses";"ZHANG HUAN 
LIAN XIWEI";"DURUI IND COMPONENTS BEIJING CO LTD";"CN121121430A";"2025-08-28";"G06N3/0464 
G06T19/00 
G06V10/12 
G06V10/25 
G06V10/82 
G06V10/94";"G06N3/0464 (CN) 
G06T19/006 (CN) 
G06V10/12 (CN) 
G06V10/25 (CN) 
G06V10/82 (CN) 
G06V10/94 (CN)";"2025-12-12";"2025-12-12";"097953794";
"285";"Augmented reality glasses";"TSAO JUNG-WEI [TW]";"ACER INC [TW]";"TWM577503U";"2018-12-25";"G02B27/22";"";"2019-05-01";"2019-05-01";"067353577";
"286";"Augmented reality display system and AR glasses";"HUANG QINHUA 
LI WENQUAN";"SHENZHEN SKYWORTH NEW WORLD TECH CO LTD";"CN209542961U";"2018-12-12";"G02B27/01";"";"2019-10-25";"2019-10-25";"068264161";
"287";"Augmented reality lens, augmented reality glasses and augmented reality imaging method";"ZHANG ZHISHENG 
JU XIAOSHAN 
MA BINGQIAN 
LI ZONGZHENG";"JIANGXI OUMAISI MICROELECTRONICS CO LTD";"CN112764223A";"2021-01-13";"G02B27/01 
G02B30/27 
G09F9/33";"G02B27/0172 (CN) 
G02B30/27 (CN) 
G09F9/33 (CN) 
G02B2027/0178 (CN)";"2021-05-07";"2021-05-07";"075699969";
"288";"Intelligence glasses device and virtual reality glasses equipment, Augmented reality glasses equipment";"DONG JIANGHONG";"DONG JIANGHONG";"CN207571381U";"2017-07-08";"G02B27/01";"";"2018-07-03";"2018-07-03";"062696938";
"289";"Augmented reality AR glasses";"ZHANG RUI 
LI SHUXIN";"SHANGHAI LAINI INTELLIGENT TECH CO LTD";"CN208013559U";"2018-03-28";"G02B27/01 
G02C7/10";"";"2018-10-26";"2018-10-26";"063891004";
"290";"Freeform surface-based slab waveguide augmented reality glasses";"YANG JUN 
ZHANG JINGJING";"SHANGHAI NOVA-OPTICS TECH CO LTD";"CN105629468A";"2015-12-18";"G02B27/01";"G02B27/0101 (CN) 
G02B27/0172 (CN) 
G02B2027/0123 (CN) 
G02B2027/0178 (CN)";"2016-06-01";"2016-06-01";"056044564";
"291";"MENU NAVIGATION IN A HEAD-MOUNTED DISPLAY";"MORAVETZ JUSTIN [US]";"SONY INTERACTIVE ENTERTAINMENT LLC [US]";"US11036292B2 
US2020379556A1";"2014-01-25";"G02B27/01 
G06F3/01 
G06F3/0346 
G06F3/0482 
G06F3/0481";"G02B27/017 (EP,KR,US) 
G02B27/0172 (US) 
G02B27/0179 (US) 
G06F3/012 (US) 
G06F3/013 (EP,KR,US) 
G06F3/0346 (US) 
G06F3/0482 (EP,KR,US) 
G02B2027/014 (EP,KR,US) 
G02B2027/0178 (EP,KR,US) 
G02B2027/0187 (EP,KR,US) 
G02B27/0101 (RU) 
G02B27/022 (RU) 
G06F3/048 (RU)";"2020-12-03 
2021-06-15";"2015-07-30";"053678875";
"292";"AI AR Method for providing Port Logistics Management System using AR glasses equipped with AI based finger tracking and apparatus therefor";"HONG EUI SEOK";"JNE WORKS CO LTD [KR]";"KR20230125596A";"2022-02-21";"G02B27/01 
G02C11/00 
G06N3/08 
G06Q10/08 
G06Q10/10 
G06T19/00";"G02B27/017 (KR) 
G02C11/10 (KR) 
G06N3/08 (KR) 
G06Q10/087 (KR) 
G06Q10/10 (KR) 
G06T19/006 (KR) 
G02B2027/014 (KR)";"2023-08-29";"2023-08-29";"087802284";
"293";"METHOD OF PROVIDING AUGMENTED REALITY IMAGE AND HEAD MOUNTED DISPLAY DEVICE SUPPORTING SAME";"JEONG EUNSU [KR] 
BOK ILGEUN [KR] 
CHANG CHULSANG [KR]";"SAMSUNG ELECTRONICS CO LTD [KR]";"WO2022211514A1";"2021-04-01";"G02B27/00 
G02B27/01 
H04N13/332";"G02B27/00 (EP) 
G02B27/0075 (KR) 
G02B27/01 (EP) 
G02B27/017 (KR) 
H04N13/332 (EP,KR) 
G02B2027/0178 (KR)";"2022-10-06";"2022-10-06";"083459408";
"294";"An optical system of augmented reality glasses";"YANG JIANMING 
FAN QUNWEN";"GUANGGAN (SHANGHAI) TECH CO LTD";"CN111123522A";"2020-01-17";"G02B27/01";"G02B27/0172 (CN) 
G02B2027/0178 (CN)";"2020-05-08";"2020-05-08";"070489587";
"295";"AR augmented reality glasses";"TIAN AIXUE";"SANHE GUANGYI TECH CO LTD";"CN207352283U";"2017-10-16";"G02B27/01";"";"2018-05-11";"2018-05-11";"062354982";
"296";"Traffic police gesture signal recognition method and device and augmented reality glasses";"XUE PENG";"GOERTEK TECH CO LTD";"CN119472979A";"2023-08-10";"G02B27/01 
G06F3/01 
G06V10/40 
G06V10/764";"G02B27/017 (CN) 
G06F3/013 (CN) 
G06F3/017 (CN) 
G06V10/40 (CN) 
G06V10/764 (CN) 
G02B2027/0178 (CN)";"2025-02-18";"2025-02-18";"094568611";
"297";"WIRELESS HEAD MOUNTED DISPLAY WITH DIFFERENTIAL RENDERING";"TOKUBO TODD [US] 
OSMAN STEVEN [US] 
STAFFORD JEFFREY ROGER [US] 
MAO CRUSOE XIADONG [US] 
BLACK GLENN [US]";"SONY INTERACTIVE ENTERTAINMENT INC [JP]";"US11269408B2 
US2020264701A1";"2011-08-12";"A63F13/211 
A63F13/213 
A63F13/25 
A63F13/32 
A63F13/53 
A63F13/54 
G06F3/01 
G06F3/147 
G06F3/16 
G09G3/00 
G09G5/14 
H04S7/00 
A63F13/30";"A63F13/211 (EP,US) 
A63F13/213 (EP,US) 
A63F13/25 (EP,US) 
A63F13/32 (EP,US) 
A63F13/53 (US) 
A63F13/54 (EP,US) 
G06F3/013 (EP,US) 
G06F3/147 (EP,US) 
G06F3/167 (EP,US) 
G09G3/003 (EP,US) 
G09G5/14 (US) 
H04S7/303 (EP,US) 
H04S7/304 (EP,US) 
A63F13/30 (US) 
A63F2300/6081 (EP,US) 
A63F2300/6615 (EP,US) 
G09G2340/0407 (US) 
G09G2354/00 (US) 
G09G2370/16 (EP,US) 
H04S2400/11 (EP,US) 
H04S2420/01 (EP,US)";"2020-08-20 
2022-03-08";"2017-02-16";"057996221";
"298";"HEAD MOUNTED DISPLAY, METHOD OF CONTROLLING HEAD MOUNTED DISPLAY, AND COMPUTER PROGRAM";"TAKAHASHI TATSUNORI [JP] 
TAKANO MASAHIDE [JP] 
YAMAGUCHI KAORU [JP]";"SEIKO EPSON CORP [JP]";"US10140768B2 
US2016110921A1";"2014-10-17";"G02B27/01 
G06T19/00 
G09G3/00 
G06F3/01";"G02B27/017 (EP,US) 
G02B27/0172 (US) 
G06F3/011 (EP,US) 
G06T19/006 (EP,US) 
G09G3/003 (EP,US) 
G02B2027/0138 (EP,US) 
G02B2027/014 (EP,US) 
G02B2027/0178 (EP,US)";"2016-04-21 
2018-11-27";"2016-04-21";"055749465";
"299";"AUGMENTED REALITY GLASSES FOR MEDICAL APPLICATIONS AND CORRESPONDING AUGMENTED REALITY SYSTEM";"BADIALI GIOVANNI [IT] 
TREGNAGHI GIOVANNI [IT]";"ALMA MATER STUDIORUM - UNIVERSITA' DI BOLOGNA [IT] 
GLASSUP S R L [IT] 
ALMA MATER STUDIORUM-UNIVERSITA' DI BOLOGNA [IT] 
ALMA MATER STUDIORUM—UNIVERSITA DI BOLOGNA [IT]";"US10197803B2 
US2017160549A1";"2014-03-28";"A61B5/00 
G02B27/01 
A61B90/00 
A61B90/50 
G02B27/14 
G03B21/20 
G06F3/0354 
G06F3/16";"A61B5/7445 (US) 
G02B27/0172 (EP,US) 
A61B2090/365 (EP,US) 
A61B2090/372 (US) 
A61B2090/502 (US) 
G02B2027/0112 (EP,US) 
G02B2027/0141 (EP,US) 
G02B2027/0174 (EP,US) 
G02B2027/0178 (EP,US) 
G02B27/14 (US) 
G03B21/2033 (EP,US) 
G06F3/03543 (US) 
G06F3/167 (US)";"2017-06-08 
2019-02-05";"2015-10-01";"053051852";
"300";"CHANGING THE OPACITY OF AUGMENTED REALITY GLASSES IN RESPONSE TO EXTERNAL LIGHT SOURCES";"GRINBERG DANIEL [IL] 
HELLMAN AVIAD [IL] 
CHAIM SHAY [IL] 
CAMPO ELI [IL]";"REALITY PLUS LTD [IL]";"WO2020170253A1";"2019-02-24";"G02B27/00 
G02B27/01 
G02F1/01 
G06T19/00 
G09G5/10";"G02B27/0093 (EP) 
G02B27/0172 (EP) 
G06F3/013 (EP) 
G06F3/147 (EP) 
G02B2027/0118 (EP) 
G02B2027/0178 (EP) 
G02B2027/0194 (EP) 
G09G2300/0456 (EP) 
G09G2320/0261 (EP) 
G09G2320/0626 (EP) 
G09G2320/0666 (EP) 
G09G2360/144 (EP)";"2020-08-27";"2020-08-27";"072144386";
"301";"APPARATUS, METHOD AND SOFTWARE FOR ASSISTING AN OPERATOR IN FLYING A DRONE USING A REMOTE CONTROLLER AND AR GLASSES";"LESONEN HANNU [FI] 
IMMONEN LASSI [FI]";"ANARKY LABS OY [FI]";"EP4273656A2 
EP4273656A3 
EP4273656B1 
EP4273656C0";"2021-02-19";"G05D1/00 
B64U101/30";"B64C39/024 (KR) 
G05D1/0022 (US) 
G05D1/0038 (EP,US) 
G05D1/0044 (EP) 
G05D1/2245 (KR) 
G05D1/2247 (KR) 
G05D1/226 (KR) 
G05D1/229 (KR) 
G06T11/00 (KR,US) 
H04N7/183 (KR,US) 
B64U2101/30 (EP,US) 
B64U2201/20 (KR,US) 
G05D2109/20 (KR)";"2023-11-08 
2023-12-20 
2025-01-29";"2022-08-09";"074672174";
"302";"MIXED REALITY HEAD MOUNTED DISPLAY DEVICE";"HUANG HAIFENG 
HU ZENGXIN";"ZHEJIANG SHUNWEI TECH CO LTD";"CN220894660U";"2023-08-23";"F16M13/04 
G02B27/00 
G02B27/01 
G02B7/12 
H04N13/239 
H04N13/332";"";"2024-05-03";"2024-05-03";"090837803";
